City,Library,SaleDetails
"Altamonte Springs, FL",No Name Found,Nov
"Belleview, FL",Friends of Belleview Library,Bookstore
"Boca Raton, FL",Florida Atlantic University Library,Ongoing
"Boca Raton, FL",Friends of Boca Raton Library,Bookstore
"Bonita Springs, FL",Bonita Springs Library,Nov
"Bradenton, FL",Central Library,Bookstore
"Bradenton, FL",South Manatee Library,Ongoing
"Cape Canaveral, FL",Cape Canaveral Library,Ongoing
"Cape Coral, FL",Cape Coral Library,Nov
"Casselberry, FL",Seminole County Library Book Store,Bookstore
"Celebration, FL",West Osceola Branch Library,Oct 3 - 5
"Citrus Springs, FL",Friends of the Citrus County Library System,Oct 4 - 7
"Clermont, FL",Cooper Memorial Library,July 26 - 29
"Cocoa, FL",Catherine Schweinsberg-Rood Central Library,Nov 1 - 3
"Cocoa Beach, FL",Cocoa Beach Public Library,Bookstore
"Crawfordville, FL",Wakulla Cty Public Library,Ongoing
"Daytona Beach, FL",Volusia County Library Center,Bookstore
"DeLand, FL",DeLand Area Public Library,July 12 - 13; Aug 9 - 10; Sept 13 - 14; Oct 11 - 12; Nov 8 - 9; Dec 13 - 14
"Deltona, FL",Deltona Regional Library,Bookstore
"Dunedin, FL",Dunedin Library,Bookstore
"Dunnellon, FL",Dunnellon Library,Bookstore
"Dunnellon, FL",Friends Book Store,Bookstore
"Edgewater, FL",Edgewater Public Library,Ongoing
"Ellenton, FL",Rocky Bluff Branch Library,Nov
"Englewood, FL",Elsie Quirk Public Library,Ongoing
"Eustis, FL",Eustis Memorial Library Book Store,Ongoing
"Fernandina Beach, FL",Friends of Fernandina Beach Library,Oct
"Fort Lauderdale, FL",Alvin Sherman Library,Oct
"Fort Myers, FL",Lakes Regional Library,Ongoing
"Fort Myers Beach, FL",Fort Myers Beach Public Library,Bookstore
"Ft. Lauderdale, FL",Riverland Library,"Jan 1 - 31,  2021 Ongoing"
"Ft. McCoy, FL",Fort McCoy Public Library,Ongoing
"Ft. Myers, FL",Goodwill Bookstore,Bookstore
"Gainesville, FL",Friends of the Library - Alachua County Library District,Oct 26 - 30
"Gulf Breeze, FL",Gulf Breeze Library,Ongoing
"Gulfport, FL",Gulfport Library,Ongoing
"Haines City, FL",Haines City Public Library,Ongoing
"Hialeah, FL",JFK Library,Ongoing
"Hollywood, FL",Hollywood Library,Ongoing
"Homosassa, FL",Friends of Homosassa Public Library,Nov
"Jacksonville, FL",Friends of Jacksonville Public Library,July 18 - 20
"Key West, FL",Friends of Key West Library,Dec 7
"Kissimmee, FL",Hart Memorial Library,Aug 8 - 10
"Kissimmee, FL",Buenaventura Library,Sept 26 - 28
"Lady Lake, FL",Lady Lake Public Library,Ongoing
"Lake Alfred, FL",Lake Alfred Library,Bookstore
"Lake City, FL",Columbia County Public Library,Ongoing
"Lake Wales, FL",Lake Wales Public Library,Bookstore
"Lakeland, FL",Lakeland Public Library,Ongoing
"Largo, FL",Largo Public Library,Sept
"Lehigh Acres, FL",East County Regional Library,Nov
"Lighthouse Point, FL",Friends of Lighthouse Point Library,Nov
"Live Oak, FL",Suwannee River Regional Library,Oct
"Maitland, FL",Maitland Public Library,Nov
"Melbourne, FL",Melbourne Public Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Melbourne, FL","Dr. Martin Luther King, Jr. Library",Bookstore
"Melbourne (Eau Gallie), FL",Eau Gallie Public Library,Ongoing
"Melbourne (Suntree), FL",Suntree/Viera Public Library,Oct
"Melbourne Beach, FL",Melbourne Beach Public Library,Ongoing
"Merritt Island, FL",Merritt Island Library,Bookstore
"Miami, FL",Trinity Episcopal Cathedral,Ongoing
"Miami, FL",No Name Found,Bookstore
"Micco, FL",South Mainland Public Library,Ongoing
"Middleburg, FL",Middleburg-Clay Hill Library,July; Oct
"Milton, FL",Milton Public Library,June 28 - 29
"Mims, FL",Mims-Scottsmoor Public Library,Oct
"Mount Dora, FL",W T Bland Public Library,Bookstore
"Mulberry, FL",Mulberry Library,Ongoing
"Navarre, FL",Navarre Branch Library,Bookstore
"Neptune Beach, FL",Beaches Branch Library,Oct
"New Smyrna Beach, FL",New Smyrna Beach Regional Library,Ongoing
"Niceville, FL",Friends of Niceville Library,Sept
"North Miami, FL",North Miami Book Store,Bookstore
"North Palm Beach, FL",North Palm Beach Library,Ongoing
"Ocala, FL",Ocala Public Library,Aug 3
"Orange Park, FL",Orange Park Public Library,Bookstore
"Orlando, FL",Orlando Public Library,July 11 - 14
"Ormond Beach, FL",Ormond Beach Regional Library,Ongoing
"Pace, FL",Friends of the Pace Area Library,Ongoing
"Palm Bay, FL",Palm Bay Library,Ongoing
"Palm Harbor, FL",Palm Harbor Library,Bookstore
"Panama City, FL",Bay County Public Library,Bookstore
"Pensacola, FL","Friends of West Florida Public Library, Inc.",Sept 27 - 29
"Pensacola, FL",Tryon Branch Library,Bookstore
"Pensacola, FL",West Florida Public Library Bookstore (Downtown),Bookstore
"Perry, FL",Taylor County Public Library,Oct 19
"Pinecrest, FL",Pinecrest Branch Library,Ongoing
"Plant City, FL",Bruton Memorial Library,Bookstore
"Plantation, FL",Plantation Library,June 21 - 22; July 5 - 6; July 19 - 20; Aug 2 - 3; Aug 16 - 17; Sept 6 - 7; Sept 20 - 21; Oct 4 - 5; Oct 18 - 19; Nov 1 - 2; Nov 15 - 16; Dec 6 - 7; Dec 20 - 21
"Poinciana, FL",Poinciana Library,Nov 7 - 9
"Ponte Vedra Beach, FL",Library of Ponte Vedra Beach,Bookstore
"Port Charlotte, FL",Port Charlotte Library,Bookstore
"Port Orange, FL",Port Orange Regional Library,Ongoing
"Port St. Joe, FL",Corinne Costin Gibson Memorial Public Library,Ongoing
"Port St. John, FL",Port St. John Library,Ongoing
"Punta Gorda, FL",Punta Gorda Library,Bookstore
"Ruskin, FL",Southshore Regional Library,Oct
"Ruskin, FL",Ruskin Branch Library,Bookstore
"Saint Augustine, FL",Main Library,Ongoing
"Santa Rosa Beach, FL",Coastal Branch Library,Oct
"Sarasota, FL",Selby Public Library,Bookstore
"Sarasota, FL",Centergate Bookstore (Goodwill),Bookstore
"Sarasota, FL",North Sarasota Public Library,Bookstore
"Satellite Beach, FL",Satellite Beach Public Library,Sept
"Spring Hill, FL",Little Red Schoolhouse Bookstore,Bookstore
"St. Augustine, FL",Southeast Public Library,Bookstore
"St. Augustine Beach, FL",Anastasia Island Library,Sept
"Stuart, FL",Bonnie's Bookstore at the Blake Library,Bookstore
"Stuart, FL",Friends' Book Depot,Bookstore
"Tallahassee, FL",LeRoy Collins Leon County Library,Bookstore
"Tallahassee, FL",Woodville Branch Library,Ongoing
"Tampa, FL",John F. Germany Public Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Tampa, FL",Salvation Army Thrift Store,Bookstore
"Tampa, FL",Seminole Heights Branch Library,Bookstore
"Tampa, FL",Maureen Gauzza Library,Bookstore
"Tampa, FL",North Tampa Library,Bookstore
"Tarpon Springs, FL",Tarpon Springs Library,Bookstore
"The Villages, FL",Friends of The Villages Library,Ongoing
"Titusville, FL",Titusville Public Library,Oct
"Valrico, FL",Bloomingdale Public Library,Bookstore
"Venice, FL",Venice Public Library,Bookstore
"Venice, FL",Venice Bookstore (Goodwill),Bookstore
"Vero Beach, FL",Vero Beach Public Library,Bookstore
"West Melbourne, FL",West Melbourne Public Library,Ongoing
"Weston, FL",Weston Branch Library,Bookstore
"Wildwood, FL",Friends of The Villages Library,Ongoing
"Winter Haven, FL",Winter Haven Public Library,July 20; Aug 17; Sept 21; Oct 19; Nov 16; Dec 21
"Winter Park, FL",at Winter Park Library,Bookstore
"Zephyrhills, FL",New River Library,Ongoing
"Brunswick, GA",Brunswick-Glynn County Library,Aug 21 - 24
"Lexington, KY",Lexington Central Library,Oct
"Detroit, MI",Festival of Books!,July 21
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
